,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
40,0.1217726230621338,0.003376654541974301,0.009751033782958985,0.0006208285646703168,100,5,9,log2,6,False,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(6), 'bootstrap': False}",0.9557835820895522,0.9333955223880597,0.9197761194029851,0.9154508043396932,0.9090909090909091,0.9266993874622399,0.016584627662404303,2
41,1.181178665161133,0.37967483028934734,0.05749287605285645,0.0210303668188557,600,4,5,log2,9,True,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(5), 'max_features': 'log2', 'max_depth': np.int64(9), 'bootstrap': True}",0.9548507462686567,0.9328358208955223,0.9225746268656716,0.911522633744856,0.902840909090909,0.9249249473731231,0.018060930891578095,21
42,0.3282576560974121,0.057457679200952155,0.016133451461791994,0.00045307496524805155,200,9,4,sqrt,19,True,"{'n_estimators': np.int64(200), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(4), 'max_features': 'sqrt', 'max_depth': np.int64(19), 'bootstrap': True}",0.9522388059701493,0.9311567164179103,0.9190298507462686,0.9118967452300786,0.9039772727272727,0.9236598782183358,0.016853314839771587,38
43,1.202755832672119,0.015328768381209917,0.06213359832763672,0.001712031283951844,900,3,6,sqrt,16,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(3), 'min_samples_leaf': np.int64(6), 'max_features': 'sqrt', 'max_depth': np.int64(16), 'bootstrap': False}",0.9546641791044777,0.9341417910447761,0.9205223880597015,0.9102132435465768,0.9068181818181817,0.9252719567147428,0.01750680867932737,12
44,1.5963433265686036,0.3863677516783041,0.07517037391662598,0.021616189971737795,900,9,2,log2,17,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(2), 'max_features': 'log2', 'max_depth': np.int64(17), 'bootstrap': False}",0.9522388059701492,0.9277985074626867,0.919589552238806,0.9096520763187429,0.9,0.921855788398077,0.017833595083505245,49
48,0.5618049621582031,0.01906777754787748,0.04170141220092773,0.008894899750570447,600,2,9,log2,2,False,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(2), 'bootstrap': False}",0.9455223880597015,0.919589552238806,0.9319962686567165,0.9031051253273475,0.8975378787878787,0.9195502426140901,0.01780136788193839,55
49,1.5578181743621826,0.533771038216588,0.07041773796081544,0.02503455123208569,900,6,9,log2,5,True,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(5), 'bootstrap': True}",0.9531716417910447,0.928544776119403,0.9227611940298507,0.9124579124579123,0.9053030303030303,0.9244477109402481,0.016461886588363634,26
50,0.3614949226379395,0.006846351022324383,0.023265314102172852,0.0015773625687390367,300,6,6,sqrt,5,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(6), 'max_features': 'sqrt', 'max_depth': np.int64(5), 'bootstrap': False}",0.9533582089552238,0.9332089552238806,0.9272388059701493,0.912832023943135,0.912310606060606,0.927789720030599,0.015144338109087064,1
52,0.5159178256988526,0.01003071446721034,0.02873072624206543,0.0005382003908081776,400,2,9,sqrt,18,False,"{'n_estimators': np.int64(400), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(9), 'max_features': 'sqrt', 'max_depth': np.int64(18), 'bootstrap': False}",0.9548507462686566,0.9307835820895523,0.9207089552238806,0.9102132435465768,0.9056818181818181,0.9244476690620969,0.01751139576219627,27
53,1.128963088989258,0.31923271114684615,0.06310887336730957,0.028494074590871964,700,5,4,log2,15,False,"{'n_estimators': np.int64(700), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(4), 'max_features': 'log2', 'max_depth': np.int64(15), 'bootstrap': False}",0.9541044776119403,0.9333955223880597,0.9214552238805971,0.9087167976056865,0.9035984848484848,0.9242541012669536,0.018168690417110115,29
