,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
34,1.494771909713745,0.43450457152223226,0.06256098747253418,0.01962033972862362,800,6,4,sqrt,6,True,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(4), 'max_features': 'sqrt', 'max_depth': np.int64(6), 'bootstrap': True}",0.9548507462686567,0.9352611940298508,0.9216417910447761,0.9139543583988028,0.9049242424242424,0.9261264664332659,0.017471887880805722,6
35,1.2609535694122314,0.017949436287890405,0.06257357597351074,0.008259318978394607,900,2,6,sqrt,5,True,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(6), 'max_features': 'sqrt', 'max_depth': np.int64(5), 'bootstrap': True}",0.9529850746268657,0.9313432835820894,0.9227611940298507,0.912832023943135,0.9034090909090908,0.9246661334182062,0.016982835822477775,27
40,0.22190499305725098,0.04451638526037485,0.01534414291381836,0.0030318928156511087,100,5,9,log2,6,False,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(6), 'bootstrap': False}",0.9550373134328357,0.9333955223880597,0.9195895522388059,0.914702581369248,0.9090909090909091,0.9263631757039716,0.016442887236848763,3
41,1.1041296005249024,0.38000830561147436,0.05028157234191895,0.017880267884370776,600,4,5,log2,9,True,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(5), 'max_features': 'log2', 'max_depth': np.int64(9), 'bootstrap': True}",0.9541044776119403,0.933955223880597,0.9222014925373134,0.9130190796857464,0.9032196969696968,0.9252999941370588,0.017621420856964068,17
42,0.29967532157897947,0.01060349361789403,0.016118812561035156,0.00029833241255079285,200,9,4,sqrt,19,True,"{'n_estimators': np.int64(200), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(4), 'max_features': 'sqrt', 'max_depth': np.int64(19), 'bootstrap': True}",0.9522388059701493,0.9326492537313432,0.9190298507462686,0.9118967452300785,0.903030303030303,0.9237689917416285,0.01722145336075113,37
43,1.69424147605896,0.9122569951494275,0.07305727005004883,0.023087591501461897,900,3,6,sqrt,16,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(3), 'min_samples_leaf': np.int64(6), 'max_features': 'sqrt', 'max_depth': np.int64(16), 'bootstrap': False}",0.9539179104477611,0.9343283582089552,0.9205223880597015,0.910961466517022,0.906439393939394,0.9252339034345667,0.017231458358672968,18
44,3.258750009536743,0.8256835512899563,0.18575215339660645,0.07499679511630414,900,9,2,log2,17,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(2), 'max_features': 'log2', 'max_depth': np.int64(17), 'bootstrap': False}",0.9516791044776118,0.9291044776119404,0.9192164179104477,0.9135802469135802,0.8998106060606059,0.9226781705948373,0.017320698846387362,50
48,0.5606047630310058,0.010530911745667903,0.041097497940063475,0.008080162771987271,600,2,9,log2,2,False,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(2), 'bootstrap': False}",0.9455223880597015,0.919589552238806,0.9319962686567165,0.9031051253273475,0.8975378787878787,0.9195502426140901,0.01780136788193839,57
49,1.5664466857910155,0.42018002008836164,0.06820464134216309,0.02097693183963187,900,6,9,log2,5,True,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(5), 'bootstrap': True}",0.9527985074626866,0.9283582089552239,0.9223880597014926,0.912832023943135,0.9051136363636363,0.9242980872852348,0.016321277580908535,31
50,0.35518817901611327,0.015225818270010448,0.021505308151245118,0.000543462323164784,300,6,6,sqrt,5,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(6), 'max_features': 'sqrt', 'max_depth': np.int64(5), 'bootstrap': False}",0.9531716417910447,0.9330223880597015,0.9270522388059701,0.9147025813692481,0.9117424242424241,0.9279382548536776,0.014838094439645046,1
